Product_ID,Catageory,Name,Price
1,Drink,Espresso,2.25
2,Drink,Espresso Double,2.2
3,Drink,Espresso Triple,2.85
4,Drink,Macchiato,2.75
5,Drink,Macchiato Double,3
6,Drink,Macchiato Triple,3.35
7,Drink,Americano Small,2.65
8,Drink,Americano Large,3.1
9,Drink,Cortado Small,3.25
10,Drink,Classic Cappuccino,3.25
11,Drink,Cappuccino Small,3.5
12,Drink,Cappuccino Large,4.25
13,Drink,Latte Small,3.5
14,Drink,Latte Large,4.25
15,Drink,Mocha Small,3.9
16,Drink,Mocha Large,4.5
17,Drink,Caramel Latte Small,3.5
18,Drink,Caramel Latte Large,4.25
19,Drink,Vanilla Latte Small,3.5
20,Drink,Vanilla Latte Large ,4.25
21,Drink,Drip Coffee Small,2
22,Drink,Drip Coffee Large,2.3
23,Drink,Café au lait Small,3
24,Drink,Café au lait Large,3.25
25,Drink,French Press Small,3
26,Drink,French Press Large,4.25
27,Drink,Masala Chai Latte Small,3.9
28,Drink,Masala Chai Latte Large,4.5
29,Drink,Hot Tea Black Small,2
30,Drink,Hot Tea Black Large,2.75
31,Drink,Hot Tea Green Small,2
32,Drink,Hot Tea Green Large ,2.75
33,Drink,Hot Tea Herbal Small,2
34,Drink,Hot Tea Herbal Large,2.75
35,Drink,Hot Tea Oolong Small,2
36,Drink,Hot Tea Oolong Large,2.75
37,Drink,Iced Tea Black Small,2
38,Drink,Iced Tea Black Large,2.75
39,Drink,Iced Tea Green Small,2
40,Drink,Iced Tea Green Large ,2.75
41,Drink,Iced Tea Herbal Small,2
42,Drink,Iced Tea Herbal Large,2.75
43,Drink,Iced Tea Oolong Small,2
44,Drink,Iced Tea Oolong Large,2.75
45,Drink,Hot Chocolate Small,3.5
46,Drink,Hot Chocolate Large ,4
47,Food,Bluberry Muffin,2.75
48,Food,Apple Walnut Muffin,2.75
49,Food,Bran Muffin,2.75
50,Food,Carrot Muffin,2.75
51,Food,Corn Muffin,2.75
52,Food,Chocolate Muffin,2.75
53,Food,Cinnamon Scone,2.5
54,Food,Maple Walnut Scone,2.5
55,Food,Chocolate Chip Brownie,3
56,Food,Rice Crispy Treat,3
57,Food,Red Velvet Cupcake,3
58,Food,Cinnamon Roll,3
59,Food,Pecan Roll,3
60,Food,Pound Cake,2.5
61,Food,Turkey club,5
62,Food,Grilled Chick Avacdo,5.25
63,Food,Ham and Cheese,5.25
64,Food,BLT,5.25
65,Food ,Tueky and Swiss,5.35
66,Food,BBQ Chicken Wrap,6.45
67,Food,Chicken Casear Wrap,6.45
68,Food,Veggie & Hummus Wrap,6.45
69,Food,Casear Salad,6.45
70,Food,Southwest Chicken Salad,7
71,Food,BBQ Chicken Salad,7
72,Food,Salad Salad,7
